check_interval_secs; ;Interval between starting checks (seconds);;;;;;;;;;;
ping_attempts; ;Attempts To Make Before Failing;;;;;;;;;;;
ping_method; ;Ping method;;;;;;;;;;;
host_addresses; ;Host Address;;;;;;;;;;;
attempt_timeout_secs; ; Time to wait for each response (seconds);;;;;;;;;;;
value_must_be_between; ;Value must be between;;;;;;;;;;;
and; ;and;;;;;;;;;;;
day_of_month; ;Day of Month;;;;;;;;;;;
day_of_week; ;Day of Week;;;;;;;;;;;
hour_of_day; ;Hour of Day;;;;;;;;;;;
upload introduction2;admin;Please note that it takes approximately 4 minutes for the firmware to be upgraded. DO NOT turn off your Router during the firmware upgrade process.;يرجى ملاحظة أن عملية ترقية الفيرم وير تستغرق ما يقرب من ثلاثة دقائق. فلا تقم بإيقاف جهازالراوتر الخاص بك  أثناء عملية ترقية الفيرم وير;Veuillez noter qu’il faut environ 4 minutes pour la mise à niveau du microprogramme. NE PAS éteindre votre routeur au cours du processus de mise à niveau du microprogramme.;;;;;;;上傳更新Flash需要大約4分鐘請耐心等候。警告！不正常的Image將會導致中斷系統運作。;上传更新Flash需要大约4分钟的时间请耐心等候。警告！不正常的Image将中断系统的运作。;
GUI completeMsg1;NTC-GUI TELUS-GUI;Please review your settings and click finish.;يرجى مراجعة ما قمت به من إعدادات ثم انقر فوق إنهاء.;Veuillez revoir vos paramètres et cliquez sur Terminé.;;;;;;;;Please review your setting and click 完成.;
content filter warningMsg1;firewall;Please select the rule to be deleted.;يرجى تحديد القاعدة المراد حذفها.;Veuillez sélectionner la règle à supprimer.;;Please select the rule to be deleted.;;;;;;;
GUI selectLanguage;NTC-GUI TELUS-GUI;Please select your Language Preference;يرجى تحديد تفضيلات اللغة الخاصة بك.;Sélectionner la langue que vous préférez;;;;;;;;Please select your 语言 Preference;
GUI selectTimeZone;NTC-GUI TELUS-GUI;Please select your Time Zone;يرجى تحديد المنطقة الزمنية الخاصة بك.;Sélectionner votre fuseau horaire;;;;;;;;Please select your 时区;
warningMsg04;firewall internet;Please set a ip address.;يرجى تعيين عنوان IP.;Veuillez définir une adresse IP.;;;;;;;;;
warningMsg06;firewall internet;Please set a port range.;يرجى تحديد نطاق المنفذ.;Veuillez définir une plage de port.;;;;;;;;;
reset3gOpertionMode; ;please set the MBB Operation Mode to 'OFF' and try again. ;يرجى تعيين وضع تشغيل MBB إلى إيقاف التشغيل والمحاولة مرة أخرى.;Veuillez éteindre le mode d'opération MBB en appuyant sur 'OFF' puis réessayer. ;;;;;;;;;
statistic alertMsg1;admin;Please specify a command.;يرجى تحديد أمر.;Veuillez spécifier une commande.;;Please specify a command.;;;;;;;
man warningMsg3;admin;Please specify a value for the interval of synchroniztion.;يرجى تحديد قيمة لفاصل المزامنة.;Veuillez spécifier une valeur pour l’intervalle de synchronisation.;;Please specify a value for the interval of synchroniztion.;;;;;;;
adv warningMsg1;wireless;Please specify beacon interval;يرجى تحديد فاصل التنبيه;Veuillez spécifier l’intervalle de balise;;Please specify beacon interval;;;;;;;
adv warningMsg3;wireless;Please specify DTIM Interval;يرجى تحديد فاصل DTIM;Veuillez spécifier l’intervalle DTIM;;Please specify DTIM Interval;;;;;;;
adv warningMsg5;wireless;Please specify Fragmentation Length;يرجى تحديد طول التجزئة;Veuillez spécifier la longueur de fragmentation;;Please specify Fragmentation Length;;;;;;;
wwan warningMsg4;internet;Please specify Idle Time;يرجى تحديد وقت الخمول;Veuillez spécifier la durée d’inactivité;;Please specify Idle Time;;;;;;;
wwan warningMsg15;internet;Please specify Profile Name;يرجى تحديد اسم ملف التعريف;Veuillez spécifier un Nom de profil;;Please specify Profile Name;;;;;;;
wwan warningMsg3;internet;Please specify Redial Period;يرجى تحديد مدة إعادة الاتصال;Veuillez spécifier la période de recomposition;;;;;;;;Please specify 重拨 Period;
adv warningMsg7;wireless;Please specify RTS threshold;يرجى تحديد حد طلب الإرسال (RTS);Veuillez spécifier le seuil RTS;;Please specify RTS threshold;;;;;;;
man warningMsg2;admin;Please specify the administrator password.;يرجى تحديد كلمة مرور المدير.;Veuillez spécifier le mot de passe de l’administrateur.;;;;;;;;Please specify the administrator password.;
swicthToAdvnce;main;please switch to advanced view by clicking the 'Switch to advanced view' button above at any time. ;يرجى التبديل إلى العرض المتقدم بالنقر فوق زر 'تحويل إلى العرض المتقدم' الموجود أعلاه في أي وقت.;Veuillez passer à la vue avancée en cliquant en tout temps sur le bouton ci-dessus 'Passer à la vue avancée'. ;;;;;;;;;
tryAgain;main;please try again. ;يرجى إعادة المحاولة.;Veuillez réessayer.;;;;;;;;;
insertSimETI;main;please turn off the power and insert the SIM card provided by Etisalat. ;يرجى إيقاف التشغيل وإدخال بطاقة SIM المقدمة من اتصالات.;Veuillez éteindre l'appareil puis insérer la carte SIM fournie par Etisalat. ;;;;;;;;;
insertSim;main;please turn off the power and insert the SIM card.;يرجى إيقاف التشغيل وإدخال بطاقة SIM.;Veuillez éteindre l'appareil puis insérer la carte SIM;;;;;;;;;
GUI pleaseWait;NTC-GUI;Please wait;يرجى الانتظار;Veuillez patienter;;;;;;;;;お待ち下さい
GUI waitingMsg5;NTC-GUI;Please wait while your Router reboots.;يرجى الانتظار بينما يتم إعادة تشغيل الراوتر.;Veuillez patienter au cours du redémarrage de votre Terminal intelligent.;;Please wait while your Smart Hub reboots.;;;;;;;
secure wpa pmk cache period;wireless;PMK Cache Period;فترة تخزين PMK;Période de mémoire cache PMK;;;;;;;配對主鍵快取週期;成对主钥缓存周期;
prof list;wireless;Pofile List;قائمة ملفات التعريف;Liste de profils;;;;;;;連線設定檔列表;联机设置档列表;
secure access policy capable;wireless;Filtering policy;السياسة;Règle de filtrage;;;;;;;;;
port;admin wireless internet firewall;Port;منفذ;Port;;;;;;;;;ポート
treeapp port forwarding;main;Port forwarding;إعادة توجيه المنفذ;Redirection de port;Port-Weiterleitung;;;;;;Port 轉送;Port 转送;ポートフォワード
forward title;firewall;Port Forwarding  Settings;إعدادات إعادة توجيه المنفذ;Paramètres de redirection de port;;;;;;;;;
port range;firewall;Port Range;نطاق المنفذ;Plage de ports;;;;;;;;;
addprof power save;wireless;Power Saving Mode;وضع توفير الطاقة;Mode d’économie d’énergie;;;;;;;省電模式;省电模式;
wan connection type pppoe;internet NTC-GUI TELUS-GUI;PPPoE;PPPoE ;PPPoE;PPPoE (ADSL);PPPoE (ADSL);;;;;;;トランスパレント　ブリッジ　モード
wan connection type pppoe;spec_ntc_v2;Transparent bridge mode;PPPoE ;PPPoE;PPPoE (ADSL);PPPoE (ADSL);;;;;;;トランスパレント　ブリッジ　モード
wan connection type pppoe;spec_vdf;Transparent bridge mode;;;;;;;;;;;トランスパレント　ブリッジ　モード
pppoe; ;PPPoE;PPPoE ;PPPoE;PPPoE (ADSL);PPPoE (ADSL);;;;;;;
transparentBridgePPPoE; ;Transparent bridge (PPPoE);PPPoE ;PPPoE;PPPoE (ADSL);PPPoE (ADSL);;;;;;;トランスパレントブリッジ（PPPoE）
status addrPPPoE;admin;PPPoE IP Address;عنوان ال (IP) الخاص ب (PPPoE);Adresse PPPoE;;;;;;;;;
wan pppoe mode;internet;PPPoE Mode;وضع PPPoE;Mode PPPoE;;;;;;;PPPoE 模式;PPPoE 模式;
lan pppoer;internet;PPPoE Relay;مرحل PPPoE ;Relais PPPoE;;;;;;;;PPPoE Relay;
ppoeSetup;main;PPPoE Setup;إعداد PPPoE;Installation du PPPoE;;;;;;;;;
status statusPPPoE;admin;PPPoE Status;حالة PPPoE;État du PPPoE;;;;;;;;;
wan connection type pptp;internet NTC-GUI;PPTP VPN status;PPTP ;PPTP;PPTP;PPTP;;;;;;;PPTP　VPN状態
status addrPPTP;admin;PPTP IP Address;عنوان ال (IP) الخاص ب (PPTP);Adresse PPTP;;;;;;;;;
wan pptp mode;internet;PPTP Mode;وضع PPTP;Mode PPTP;;;;;;;PPTP 模式;PPTP 模式;
status ptpPPTP;admin;PPTP P-t-P;PPTP P-t-P;P-t-P PPTP ;;;;;;;;;
vpn pptp pass thru;internet;PPTP Passthrough;عبور PPTP;Fonction d'intercommunication PPTP;;;;;;;PPTP Passthrough;PPTP Passthrough;
status serverPPTP;admin;PPTP Server IP;عنوان IP خادم PPTP;Serveur PPTP;;;;;;;;;
status statusPPTP;admin;PPTP Status;حالة PPTP;État du PPTP;;;;;;;;;
GUI warningKeyMin;NTC-GUI TELUS-GUI;Pre shared security key need to be a minimum of 8 Characters long.;مفتاح الحماية الذي تتم مشاركته مسبقا يحتاج إلى أن يكون بطول 8 رموز على الأقل.;La clé de sécurité pré-partagée doit comporter au moins 8 caractères.;;;;;;;;Pre shared security key need to be a 最少 of 8 Characters long.;
secure wpa preauth;wireless;Pre-Authentication;المصادقة المسبقة;Pré-authentification ;;;;;;;先期認證;预认证;
upload logIndex5;admin;Preparing to upgrade;التحضير للترقية;Préparation de la mise à niveau en cours;;;;;;;;;
upload logIndex2;admin;Preparing to upload;التحضير للتحميل;Préparation pour téléverser en cours;;;;;;;;;
inet pri dns;internet NTC-GUI TELUS-GUI;Primary DNS Server;خادم DNS الأساسي;Serveur DNS primaire;;;;;;;慣用 DNS 伺服器;惯用 DNS 服务器;
status primary dns;admin;Primary Domain Name Server;خادم اسم المجال الأساسي;Nom de domaine du serveur principal;;;;;;;主要網域名稱解析伺服器;主要域名服务器;
addprof private key passwd;wireless;Private Key Password;كلمة مرور المفتاح الخاص;Mot de passe de la clé privée;;;;;;;私鑰密碼;私钥口令;
addprof private key path;wireless;Private Key Path;مسار المفتاح الخاص;Chemin d’accès à la clé privée;;;;;;;私鑰路徑;私钥路径;
profile;NTC-GUI main wireless internet;Profile;ملف التعريف;Profil;;;;;;;;;プロファイル名
profile name;NTC-GUI TELUS-GUI internet wireless;Profile name;اسم ملف التعريف;Nom du profil;;;;;;;;;プロファイル名
profileSettings;main;Profile Settings;إعدادت ملف التعريف;Paramètres du profil;;;;;;;;;
protocol;admin firewall internet;Protocol;بروتوكول;Protocole;;;;;;;;;プロトコル
provider;NTC-GUI TELUS-GUI admin internet;Provider;مزود;Fournisseur ;;;;;;;;;
qos wmm ps mode;wireless;PS Mode;وضع PS;Mode PS;;;;;;;PS模式;PS模式;
wwan warningMsg13;internet;Your PUK codes don't match. Please check and try again.;رموز PUK غير مطابقة!;Les codes PUK ne correspondent pas !;;;;;;;;PUK codes do not match!;PUKコードが不一致です、確認し、やり直して下さい
status pukLocked;admin internet;SIM is PUK locked;تم قفل PUK;PUK bloqué;;;;;;;;;SIMはPUKロックされています
treeapp qos;main;QoS;جودة الخدمة (QoS) ;QS;;;;;;;QoS品質服務;QoS质量服务;
qos config;wireless;Qos Configuration;تهيئة Qos;Configuration QS;;;;;;;服務品質設定;服务质量配置;
qos setup;internet;QoS Setup;إعداد Qos;Configuration de la QS;;;;;;;服務品質(QoS)設定;服务质量(QoS)配置;
qos str;internet;Quality of Service;جودة الخدمة;Qualité de service;;;;;;;服務品質(QoS);服务质量(QoS);
qos title;internet;Quality of Service Settings;إعدادات جودة الخدمة;Configurations avancées de poste;;;;;;;客戶端進階設定;客户端高阶配置;
basic radio button;wireless;Radio on/off;تشغيل/إيقاف تشغيل الراديو;État de la radio;;;;;;;無線電 開/關;无线电 开/关;
radioOnOff;wireless;radio on/off;تشغيل/إيقاف تشغيل الراديو;État de la radio;;;;;;;無線電 開/關;无线电 开/关;
secure radius;wireless;Radius Server;خادم RADIUS ;Serveur Radius;;;;;;;Radius伺服器;Radius服务器;
wlan warningMsg9;wireless NTC-GUI;RADIUS Server IP Address is invalid IP address.;عنوان IP الخاص بخادم RADIUS ليس عنوان IP صالح.;L'adresse IP du serveur RADIUS est invalide;;;;;;;;;
treeapp ralink;main;Ralink;Ralink;Ralink;;;;;;;雷凌;雷凌;
routing range;internet;Range;النطاق;Plage;;;;;;;類型;类型;
advStatus rat;admin;RAT;RAT;RAT;;RAT;;;;;;;
basic rate;wireless;Rate;معدل;Taux;;;;;;;速率;速率;
qos Rate;internet;Rate:;معدل:;Taux :;;;;;;;保證最小頻寬:;保证最小带宽:;
setman reboot;admin main;Reboot;إعادة تشغيل;Redémarrer;Reboot;;;;;;;Reboot;再起動
rebootRequired;main;reboot required ;إعادة التشغيل مطلوبة;Réinitialisation requise;;;;;;;;;
setman rebootRouter;admin;Reboot Router;إعادة تشغيل الراوتر;Redémarrer le routeur;;;;;;;;;
GUI rebooting;admin NTC-GUI TELUS-GUI;Rebooting...;جاري إعادة التشغل...;Redémarrage en cours... ;;;;;;;;Rebooting ...;再起動中
setman warningMsg4;admin;Rebooting the device...;جاري إعادة تشغيل الجهاز...;Redémarrage du Terminal intelligent en cours...;;Rebooting from the Gateway...;;;;;;;
statistic rx;wireless;Receive Statistics;إحصائيات الاستقبال;Statistiques de réception;;;;;;;接收統計資料;接收统计资料;
reconnectDelay;internet;Reconnect delay;تأخير إعادة الاتصال;Reconnecter le retard;;;;;;;;;再接続遅延
reconnectRetries;internet;Reconnect retries;إعادة محاولة إعادة الاتصال;Reconnecter les relances;;;;;;;;;再接続再試行
GUI aoRedialPeriod;NTC-GUI TELUS-GUI internet wireless;Redial Period;فترة إعادة الاتصال;Période de recomposition;;;;;;;;重拨周期;
refresh;admin wireless internet main;Refresh;تحديث;Actualiser;;;;;;;;;リフレッシュ
band registered;internet;registered;مسجل;enregistré;;;;;;;;注册的;
stawps registrar;wireless;Registrar;المسجل;Registraire;;;;;;;登錄者;登录者;
stawps registrar set;wireless;Registrar Settings;إعدادات المسجل;Paramètres du registraire;;;;;;;登錄者設定 ;登录者设置;
reject;wireless;Reject;رفض;Rejeter;;;;;;;;;
wan attempt;internet NTC-GUI;remaining attempt;محاولة متبقية;tentative;;remaining attempt;;;;;;;
wan attempts;internet NTC-GUI admin;remaining attempt(s);محاولات متبقية;tentatives;;remaining attempts;;;;;;;残試行数
qos classifier remark;internet;Remark DSCP as:;الإشارة إلى DSCP كـ:;Marquer à nouveau le champ DSCP comme :;;;;;;;重標記DSCP為:;重标志DSCP为:;
rememberPin;NTC-GUI internet;Remember PIN;تذكر رمز PIN;Mémoriser le NIP;;;;;;;;;PINを記憶
GUI rememberNote;NTC-GUI TELUS-GUI;Remember to make a note of your username and password.;تذكر أن تكتب ملاحظة باسم المستخدم وكلمة المرور الخاصة بك.;Veuillez garder votre nom d’utilisateur et votre mot de passe à un endroit sûr afin de pouvoir les retrouver facilement.;;;;;;;;Remember to make a note of your 用户名 and 口令.;
remote;admin;Remote;عن بعد;Distant;;;;;;;;;
remoteAdministration;admin;Remote Administration;الإدارة عن بعد;Administration distante;;;;;;;;;
remoteAdministrationPort;admin;Remote Administration Port;منفذ الإدارة عن بعد;Port d'administration distant;;;;;;;;;
syslog remote ip address;admin;Remote Log Server IP Address;عنوان IP الخاص بخادم التسجيل عن بعد:;Adresse IP du serveur de log à distance;;;;;;;;;
syslog remote ip port;admin;Remote Log Server IP Port;منفذ ال IP الخاص بخادم التسجيل عن بعد;Port IP du serveur de connexion  ;;;;;;;;;
sysfw remote management title;firewall;Remote Management;الإدارة عن بعد;Gestion à distance;;;;;;;遠端管理;远程管理;
sysfw remote management head;firewall;Remote management (via WAN and MBB network);الإدارة عن بعد (عبر WAN / MBB);Gestion à distance (via le réseau étendu et MBB);;;;;;;遠端管理 (經由廣域網路);远程管理 (經由广域网络);
syslog remote title;admin;Remote System Log Setting;إعداد سجل النظام عن بعد;Paramètres du serveur des entrées à distance;;;;;;;;;
stawps renew pin;wireless;Renew PIN;إعادة تجديد رمز PIN;Renouveler le NIP ;;;;;;;更新PIN;更新PIN;
basic wireless wds mode repeater;wireless;Repeater Mode;وضع المُعيد;Mode relais (repeater);;;;;;;;;
scan rescan;wireless;Rescan;إعادة المسح;Nouveau balayage;;;;;;;重新掃描;重新扫描;
reset;firewall admin internet storage main;Reset;إعادة الضبط;Réinitialiser;;;;;;;;;リセット
statistic reset counter;wireless;Reset Counters;إعادة ضبط العدادات;Réinitialiser les compteurs;;;;;;;歸零;重设计数器;
wps reset oob;wireless;Reset OOB;إعادة ضبط خارج النطاق الترددي;Réinitialiser OOB;;;;;;;重置 OOB;重设 OOB;
GUI retypePassword;NTC-GUI TELUS-GUI internet;Retype Password;إعادة إدخال كلمة المرور;Saisissez de nouveau le mot de passe;;;;;;;;确认口令;
GUI repeatPassword;NTC-GUI TELUS-GUI internet;Repeat Password;إعادة إدخال كلمة المرور;Saisissez de nouveau le mot de passe;;;;;;;;确认口令;
basic ht rdg;wireless;Reverse Direction Grant(RDG);تفويض عكس الاتجاه (RDG);Autorisation en sens inverse (RDG);;;;;;;反轉方向權限(RDG);反转方向权限(RDG);
routing RIPEnable;admin internet;RIP Enable;تمكين RIP;Activer RIP;;;;;;;;;
status roaming;main NTC-GUI admin;Roaming;التجوال;Itinérance;;;;;;;;;
lan radvd;internet;Router Advertisement;إعلان الراوتر;Annonce de routeur;Router Advertisement;Router Advertisement;;;;;;;
GUI THwireless;NTC-GUI;Router Basic Configuration - Wireless;التهيئة الأساسية للراوتر - لاسلكي;Configuration basique du Terminal intelligent – Sans fil;;;;;;;;Smart Hub Basic Configuration - 无线网络;
GUI hubTitle-ro;NTC-GUI main;Rogers 3G38WV-R Rocket Hub;راوتر 3G WiFi مزود بخاصية الصوت ;Rogers 3G38WV-R Rocket Hub;;;;;;;;HSPA 语音-数据 路由器;
GUI hubTitle-ro2;NTC-GUI main;Rogers 3G27WV-R Rocket Hub;راوتر 3G WiFi مزود بخاصية الصوت ;Rogers 3G27WV-R Rocket Hub;;;;;;;;HSPA 语音-数据 路由器;
RouterInstallComplete;main NTC-GUI;Router installation is complete.;عملية تثبيت الراوتر كاملة.;L’installation du routeur est terminée.;;;;;;;;;
RouterInstallComplete-ro;main NTC-GUI;Rocket Hub installation is complete.;عملية تثبيت الراوتر كاملة.;L’installation du Rocket Hub est terminée.;;;;;;;;;
GUI THlogin;NTC-GUI;Router Management Console - Login;وحدة إدارة الراوتر - تسجيل دخول;Console de gestion du Terminal intelligent - Connexion;;;;;;;;Smart Hub Management Console - 登录;
GUI THsmartHubSecurity;NTC-GUI;Router Security;حماية الراوتر;Sécurité Routeur;;;;;;;;路由器安全设置;
GUI THsmartHubSecurity-ro;NTC-GUI;Rocket Hub Security;حماية الراوتر;Sécurité Rocket Hub;;;;;;;;Rocket Hub 安全设置;
status introduction;admin;Router status.;حالة الراوتر;État du routeur.;;;;;;;路由器平台的狀態。;路由器平台的状态。;
routerVersion;admin;Device version;إصدار الراوتر;Version du routeur;;;;;;;;;デバイス　バージョン
Device Version;admin;Device version;إصدار الراوتر;Version du routeur;;;;;;;;;
advStatus routingAreaCode;admin;Routing area code (RAC);رمز منطقة التوجيه (RAC);Code d’acheminement (RAC);;Routing Area Code (RAC);;;;;;;ルーティング情報コード（RAC）
advStatus RRCstate;admin;RRC State;حالة RRC;État RRC;;RRC State;;;;;;;
scan rssi;wireless;RSSI;RSSI ;RSSI;;;;;;;收訊強弱指數;接收信号强度指示;
adv rts threshold;wireless;RTS threshold;حد طلب الإرسال;Seuil RTS;;;;;;;要求傳送臨界值;传输请求界限;
russia;main;Russia ;روسيا;Russie;;;;;;;;;
statistic rx bytes;admin;Rx Byte;الإستقبال بوحدة ال (Byte);Octets Rx;;;;;;;;;
statistic rx packet;admin;Rx Packet;وحدة المعلومات (Packet) المستقبلة;Paquets Rx;;;;;;;;;
samba server;main storage;SAMBA Server;خادم SAMBA;Serveur SAMBA;;;;;;;;;
smb server setup;storage;SAMBA Server Setup;إعداد خادم SAMBA;Configuration du serveur SAMBA;;;;;;;;SAMBA 服務器设置;
smb title;storage;SAMBA Settings;إعدادات SAMBA;Réglages SAMBA;;;;;;;SAMBA 设置;SAMBA 设置;
adduser smb;storage;Samba Setup;إعداد SAMBA;Réglages SAMBA;;;;;;;SAMBA 设置;SAMBA 设置;
storage user smb;storage;Samba used;SAMBA المستخدم;utilisé Samba;;;;;;;使用Samba;使用Samba;
samoa;main;Samoa ;ساموا;Samoa ;;;;;;;;;
profileSettings3g;internet;WWAN (MBB) Profile Settings;إعدادات الملف الشخصي WWAN / MBB;Paramètres du profil du WWAN (MBB);;;;;;;;;
mobileBroadbandSettings;internet;Mobile Broadband Profile Settings;المتنقلة ذات النطاق العريض إعدادات الملف الشخصي;Mobile Paramètres de profil à large bande;;;;;;;;;
GUI savebt;NTC-GUI TELUS-GUI;Save and apply changes;حفظ وتطبيق التغييرات;Enregistrer et appliquer les modifications;;;;;;;;确定;
GUI waitingMsg1;NTC-GUI TELUS-GUI;Saving configuration and finalizing installation...;جاري حفظ التهيئة وإنهاء عملية التثبيت...;Enregistrement de la configuration et finalisation de l’installation en cours...;;;;;;;;Saving 配置 and finalising installation...;
band scan;internet;Scan;مسح;Balayer;;;;;;;;扫描;検索中
treeapp sdk history;main;SDK history;تاريخ SDK;Historique SDK;;;;;;;SDK 歷史;SDK 历史;
qos second;wireless;sec;ثانية;s;;;;;;;秒;秒;
monitor secondAddress;admin internet;Second destination address;العنوان الثاني;Adresse secondaire;;;;;;;;Second 地址;2番目の宛先アドレス
inet sec dns;internet NTC-GUI TELUS-GUI;Secondary DNS Server;خادم DNS الثانوي;Serveur DNS secondaire;;;;;;;其他 DNS 伺服器;其他 DNS 服务器;
status secondary dns;admin;Secondary Domain Name Server;خادم اسم المجال الثانوي;Nom de domaine du serveur secondaire;;;;;;;次要網域名稱解析伺服器;次要域名服务器;
treeapp security;admin main NTC-GUI;Security;حماية;Sécurité;;;;;;;安全設定;安全设置;
GUI securityKey;NTC-GUI TELUS-GUI;Security Key;مفتاح الحماية;Clé de chiffrement;;;;;;;wan attempts;internet NTC-GUI admin;
GUI securityKeyType;NTC-GUI TELUS-GUI;Security Key Type;نوع مفتاح الحماية;Type de clé de chiffrement;;;;;;;;安全密钥 Type;
secure security mode;wireless;Security Mode;وضع الحماية;Mode de sécurité;;;;;;;安全模式;安全模式;
securityPolicy;wireless;Security Policy -- ;سياسة الحماية --;Politique de sécurité -- ;;;;;;;;;
select language;admin main;Select Language;حدد اللغة;Sélectionner une langue;;;;;;;;;
band selectOperatorMode;internet;Select operator mode;حدد وضع المشغل;Sélectionnez le mode Opérateur;;;;;;;;选择 Operator Mode;事業者（オペレータ）モード選択
secure select ssid;wireless;Select SSID;حدد SSID;Sélectionner l’identifiant SSID;;;;;;;選擇無線網路識別碼;选择服务集合标识符;
lan dhcp type server;internet;Server;خادم;Serveur;;;;;;;伺服器;服务器;
inet server;internet;Server IP;عنوان IP الخاص بالخادم;IP du serveur ;;;;;;;伺服器 IP;服务器 IP;
serviceName;main;Service name;اسم الخدمة;Nom du service;;;;;;;;;サービス名
pppoe configuration;;PPPoE configuration;;;;;;;;;;;
pppoe enable;;Enable PPPoE;;;;;;;;;;;
pppoe user;;User;;;;;;;;;;;
pppoe passwd;;Password;;;;;;;;;;;
pppoe passwd verify;;Verify password;;;;;;;;;;;
pppoe authentication enable;;Enable PPPoE Authentication;;;;;;;;;;;
pppoe WAN IP forward;;Forward WAN IP;;;;;;;;;;;
pppoe debug;;Debug logging;;;;;;;;;;;
pppoe connect on demand;;Connect on demand;;;;;;;;;;;
service type;admin;Service Type;نوع الخدمة;Type de service ;;;;;;;;;
sessionTimeout;main wireless;Session Timeout;مهلة دورة التشغيل;Délai d’attente de la session ;;;;;;;;;
setman import setting file location;admin;Settings file location;موقع ملف الإعدادات;Emplacement du fichier de paramètres;;;;;;;設定檔位置;设置档位置;
treeapp settings management;main;Settings Manager;مدير الإعدادات;Gestionnaire des paramètres;;;;;;;設定管理;设置管理;
sharedSecret;main wireless;Shared Secret;السر المشترك;Secret partagé ;;;;;;;;;
smb server dirlist;storage;Sharing Directory List;مشاركة قائمة الدليل;Liste répertoire Partage;;;;;;;共享目錄列表;共享目录列表;
adv short preamble;wireless;Short preamble;مقدمة قصيرة;Court préambule;;;;;;;短前置訊號;短前导码;
adv short slot;wireless;Short Slot;فتحة قصيرة;Fente courte;;;;;;;短碰撞時槽;短碰撞槽;
showDataUsage;admin;Show data usage;عرض استخدام البيانات;Montrer l'utilisation de données;;;;;;;;;データ使用情報を表示
signalStrength;NTC-GUI main;Signal Strength ;قوة الإشارة;Intensité du signal;;;;;;;;;
signal strength;NTC-GUI TELUS-GUI admin;Signal strength (dBm);قوة الإشارة (dBm);Intensité du signal (dBm);;;;;;;;;信号強度（dBm）
signal Strength;NTC-GUI TELUS-GUI admin;Signal Strength (dBm);قوة الإشارة (dBm);Intensité du signal (dBm);;;;;;;;;
signalQualityEcN0;admin;Signal quality (Ec/N0);جودة الإشارة (Ec/N0);La qualité du signal (Ec / N0);;;;;;;;;信号品質（Ec/N0）
signalQualityEcIo;admin;Signal Quality (Ec/Io);جودة الإشارة (إك / أيو);La qualité du signal (Ec / Io);;;;;;;;;信号品質（Ec/Io）
receivedSignalCodePower;admin;Received signal code power (RSCP);تلقت السلطة كود الإشارات (RSCP);Puissance du signal reçu de code (RSCP);;;;;;;;;符合信号強度(RSCP)
RXlevel;admin;RX level;RX مستوى;niveau RX;;;;;;;;;
hsupaCategory;admin;HSUPA category;HSUPA الفئة;HSUPA catégorie;;;;;;;;;HSUPAカテゴリ
hsdpaCategory;admin;HSDPA category;HSDPA الفئة;HSDPA catégorie;;;;;;;;;HSDPAカテゴリ
primaryScramblingCode;admin;Primary scrambling code (PSC);الرئيسية قانون الجهاد (PSC);Code de brouillage primaire (CFP);;;;;;;;;優先拡散符合（PSC）
errors;admin;Errors;أخطاء;erreurs;;;;;;;;;エラー
firmwareUpdateSuccessful;admin;The firmware update was successful;تحديث البرامج الثابتة بنجاح!;Firmware mise à jour réussie!;;;;;;;;;ファームウエアのアップデートが正常に完了しました
selectFileToUpload;admin;You haven't selected a file to upload. Please select a file and try again.;خطأ! الرجاء اختيار ملف للتحميل.;Erreur! S'il vous plaît sélectionner un fichier à télécharger.;;;;;;;;;アップロードするファイルが選択されていません、ファイルを選択し再度お試し下さい
upload;admin main;Upload;تحميل;Téléchargez;laden;;;;;;;;アップロード
fileUpload; ;File uploads;تحميل;Téléchargez;;;;;;;;;ファイルアップロード
installationSuccessful;admin;The installation was successful;التثبيت بنجاح!;Installation réussie!;;;;;;;;;インストールが正常に完了しました
rebootToMain;admin;Reboot to main system;إعادة تشغيل النظام الرئيسي لل;Redémarrez le système principal;;;;;;;;;デバイスをリブートして下さい。
admin warningMsg2;admin NTC-GUI;SIM general failure;فشل عام لبطاقة SIM;Défaillance générale de la carte SIM;;SIM general failure;;;;;;;SIM　通常エラー
advStatus iccid;admin;SIM ICCID;SIM ICCID ;ICCID SIM;;;;;;;;SIM ICCID;SIM ICCID
sim not inserted;NTC-GUI TELUS-GUI admin internet;Please insert a SIM card;لم يتم إدخال بطاقة SIM;Carte SIM non insérée;;;;;;;;;
simIsNotInserted; ;SIM is not inserted;;;;;;;;;;;SIM未挿入
simSecurityWarningMsg; ;Please insert a SIM card before configuring SIM security settings;;;;;;;;;;;SIMカードを挿入して、セキュリティ設定をして下さい
simStatus;NTC-GUI TELUS-GUI admin internet;SIM status;حالة بطاقة SIM;État de la carte SIM;;;;;;;;;SIM状態
sim Status;NTC-GUI TELUS-GUI admin internet;SIM Status;حالة بطاقة SIM;État de la carte SIM;;;;;;;;;
simple Chinese;NTC-GUI TELUS-GUI admin;Simple Chinese;اللغة الصينية البسيطة;Chinois simplifié;;;;;;;;;
scan site survey;wireless;Site Survey;مسح الموقع;Étude de site ;;;;;;;掃描;扫描;
